chromosome,interval,mean_recomb_rate
b'Pseudochr24',2030000-4060000,0.000000000000001691666086136979
b'Pseudochr24',4060000-6090000,0.0000000000000026396708326539245
b'Pseudochr25',0-2035000,0.0000000000000006404704398114734
b'Pseudochr26',0-2001000,0.000000000000000897376523114703
b'Pseudochr26',2001000-4002000,0.000000000000001727201283868358
b'Pseudochr26',4002000-6003000,0.000000000000002551545039490693
b'Pseudochr27',0-2006000,0.0000000000000008774691199850475
b'Pseudochr27',2006000-4012000,0.0000000000000016596020067658839
b'Pseudochr28',0-2013000,0.0000000000000008468469963176122
b'Pseudochr28',2013000-4026000,0.0000000000000016897456236130191
b'Pseudochr3',0-2016000,0.0000000000000008308263182021129
b'Pseudochr3',2016000-4032000,0.0000000000000014398905435283308
b'Pseudochr3',4032000-6048000,0.000000000000001741269027162086
b'Pseudochr3',6048000-8064000,0.0000000000000020676737578166626
b'Pseudochr3',8064000-10080000,0.0000000000000022391671307805516
b'Pseudochr3',10080000-12096000,0.0000000000000023983398620412043
b'Pseudochr3',12096000-14112000,0.0000000000000025876537634279334
b'Pseudochr3',14112000-16128000,0.00000000000000274970134450112
b'Pseudochr3',16128000-18144000,0.000000000000002912749783650897
b'Pseudochr3',18144000-20160000,0.0000000000000031231161244032895
b'Pseudochr3',20160000-22176000,0.0000000000000033264716487769002
b'Pseudochr3',22176000-24192000,0.0000000000000035121566081891785
b'Pseudochr3',24192000-26208000,0.000000000000003738041516297109
b'Pseudochr3',26208000-28224000,0.000000000000003966200677980432
b'Pseudochr3',28224000-30240000,0.000000000000004189607777792078
b'Pseudochr3',30240000-32256000,0.0000000000000043943397166075845
b'Pseudochr3',32256000-34272000,0.0000000000000046811729073416434
b'Pseudochr3',34272000-36288000,0.000000000000005049971142737216
b'Pseudochr3',36288000-38304000,0.00000000000000529864668153661
b'Pseudochr3',38304000-40320000,0.000000000000005532587353076348
b'Pseudochr3',40320000-42336000,0.000000000000005722774701782594
b'Pseudochr3',42336000-44352000,0.000000000000005922719467420301
b'Pseudochr3',44352000-46368000,0.000000000000006219324348174028
b'Pseudochr3',46368000-48384000,0.000000000000006610936265709002
b'Pseudochr3',48384000-50400000,0.0000000000000068283573202224226
b'Pseudochr3',50400000-52416000,0.000000000000007097065346053307
b'Pseudochr3',52416000-54432000,0.00000000000000733020025174897
b'Pseudochr3',54432000-56448000,0.000000000000007527425193726647
b'Pseudochr3',56448000-58464000,0.00000000000000776800991687995
b'Pseudochr3',58464000-60480000,0.000000000000007981873689205592
b'Pseudochr3',60480000-62496000,0.000000000000008199551759759043
b'Pseudochr3',62496000-64512000,0.000000000000008448517751563293
